[H3PO3]/M,E (V vs RHE),Gas,[H3PO4]/M,[HClO4]/M,Catalyst,-5.0eV,-2.0eV,0.0eV,2.0eV,5.0eV,10.0eV,15.0eV
2e-05,0.1,CO,1,0,Pt on vulcan carbon,-0.00433,-0.0107475024777601,-0.0185526318712942,-0.0161561598239881,0.0104135293158079,0.0128584182475233,0.00673
0.0001,0.1,CO,1,0,Pt on vulcan carbon,-0.00265,-0.0079078785861887,-0.0120233937254486,-0.016591968612137,0.0067055499771453,0.0122288553072764,0.00729
0.0002,0.1,CO,1,0,Pt on vulcan carbon,-0.00516,-0.0104346231656255,-0.0180782329398735,-0.0196125064376939,0.0109958896373596,0.0151560185240994,0.00647
0.0,0.1,CO,0,1,PtCo on vulcan carbon,-0.09633,-0.1274727068624039,-0.0323125645505026,0.0754277917199953,0.0772607359472149,0.0245409183148642,0.0059
2e-06,0.1,CO,0,1,PtCo on vulcan carbon,-0.05894,-0.0655582274370309,0.0176409798219654,0.1045753452527751,0.0382194878510671,0.001833768292495,0.0015
2e-05,0.1,CO,0,1,PtCo on vulcan carbon,-0.07856,-0.101320921738193,0.0028952905639997,0.0864407324078823,0.0347828549614973,0.0125414783729332,0.01182
0.0002,0.1,CO,0,1,PtCo on vulcan carbon,-0.0716,-0.0917847170126275,-0.0003260165294422,0.0915009507014684,0.0351475067755711,0.0112785313518446,0.00636
0.0,0.1,N2,0,1,PtCo on vulcan carbon,-0.05787,-0.0599823495684233,-0.0204031809191365,-0.0121817625530843,0.0086577374520325,0.0217456136126243,0.00982
0.0,1.0,N2,0,1,PtCo on vulcan carbon,-0.05519,-0.0246050101795857,0.0310512779547513,0.0451097291720665,0.0494691639562478,-0.0035906036929173,-0.02244
2e-06,0.1,N2,0,1,PtCo on vulcan carbon,-0.08805,-0.0982205338231937,0.0145891538807204,0.0975306744456139,0.0263873027357747,0.0062770932643219,0.00859
2e-06,0.5,N2,0,1,PtCo on vulcan carbon,-0.07696,-0.0683667365987233,0.0452650400534109,0.1155789577505365,0.0160500442801346,-0.0075667273627663,0.00103
2e-06,1.0,N2,0,1,PtCo on vulcan carbon,-0.03306,-0.044696767799724,0.0186335728895968,0.0981627321796147,0.0291556139116485,0.0088604563523389,0.01094
2e-05,0.1,N2,0,1,PtCo on vulcan carbon,-0.08562,-0.0980181460810993,0.0103409862717132,0.0927517873242438,0.0259121563606726,0.0098654626257508,0.00896
2e-05,0.5,N2,0,1,PtCo on vulcan carbon,-0.06619,-0.0735036706348749,0.0427732300909332,0.1110517661417813,0.0157565780849647,-0.0113494296519432,-0.000835792
2e-05,1.0,N2,0,1,PtCo on vulcan carbon,-0.06947,-0.0677839064294112,0.0713088655842597,0.1799294008353981,0.0607269955213233,-0.0204845370489422,-0.01666
0.0002,0.1,N2,0,1,PtCo on vulcan carbon,-0.08881,-0.0991648133317219,0.0092456436673294,0.0924646581975657,0.0280868396483003,0.0096438479543465,0.00878
0.0002,0.5,N2,0,1,PtCo on vulcan carbon,-0.07476,-0.0768617084434885,0.0398427666376809,0.1116040258091105,0.0167759771650923,-0.0093443989282204,0.00181
0.0002,1.0,N2,0,1,PtCo on vulcan carbon,-0.07541,-0.0665797418494126,0.062543229401633,0.1518929577261585,0.0518968837084167,-0.0182327904815907,-0.01331
